customer_id,customer_name,tier,contract_type,plant_id,segment_id,annual_volume_2024_t,price_premium,t_per_delivery,t_per_order,print_complexity
C001,Customer 001,Key,Fixed annual,P1,S2,17976.0,-0.048,17.0,44.6,1.0
C002,Customer 002,Key,Fixed annual,P2,S4,21434.0,-0.0183,14.8,47.4,1.3
C003,Customer 003,Key,Indexed,P2,S4,27214.0,-0.0361,17.6,55.6,1.0
C004,Customer 004,Key,Fixed annual,P1,S1,23200.0,-0.0302,21.8,44.0,1.3
C005,Customer 005,Key,Fixed annual,P3,S1,29705.0,-0.0488,20.7,50.5,1.0
C006,Customer 006,Key,Indexed,P1,S2,21621.0,-0.0081,16.0,34.6,1.3
C007,Customer 007,Key,Fixed annual,P1,S2,18688.0,-0.0378,20.4,43.8,1.7
C008,Customer 008,Key,Indexed,P4,S3,16547.0,-0.05,20.3,45.2,1.3
C009,Customer 009,Key,Indexed,P3,S3,32289.0,-0.0469,16.9,46.2,1.0
C010,Customer 010,Key,Fixed annual,P1,S1,23972.0,-0.0565,24.5,45.2,1.7
C011,Customer 011,Key,Fixed annual,P3,S1,11452.0,-0.0599,18.8,43.4,1.7
C012,Customer 012,Key,Fixed annual,P2,S4,18317.0,-0.0408,24.1,44.3,1.0
C013,Customer 013,Key,Fixed annual,P2,S2,8239.0,-0.0225,19.0,50.4,1.3
C014,Customer 014,Key,Fixed annual,P1,S2,14701.0,-0.0303,19.5,41.4,1.3
C015,Customer 015,Key,Fixed annual,P2,S2,13197.0,-0.0425,15.5,43.8,1.0
C016,Customer 016,Mid,Indexed,P3,S3,8117.0,0.0243,15.4,16.9,1.0
C017,Customer 017,Mid,Indexed,P3,S1,4965.0,0.0042,13.5,16.6,1.0
C018,Customer 018,Mid,Fixed annual,P2,S4,2897.0,-0.0032,10.7,17.5,1.7
C019,Customer 019,Mid,Indexed,P2,S2,6586.0,-0.0159,13.4,14.0,1.0
C020,Customer 020,Mid,Indexed,P3,S5,4125.0,0.0291,12.5,14.1,1.3
C021,Customer 021,Mid,Fixed annual,P2,S3,2215.0,0.0261,13.7,11.5,1.0
C022,Customer 022,Mid,Fixed annual,P1,S2,4529.0,-0.0186,13.3,18.0,1.0
C023,Customer 023,Mid,Indexed,P4,S4,3260.0,0.0058,14.9,11.0,1.0
C024,Customer 024,Mid,Indexed,P3,S3,2550.0,0.0317,16.2,12.6,1.3
C025,Customer 025,Mid,Fixed annual,P2,S5,5474.0,-0.013,17.4,10.4,1.0
C026,Customer 026,Mid,Fixed annual,P2,S3,4658.0,0.0423,14.2,17.1,1.0
C027,Customer 027,Mid,Fixed annual,P4,S3,15478.0,0.0108,15.4,12.5,1.3
C028,Customer 028,Mid,Indexed,P3,S3,7599.0,-0.0035,15.9,13.1,1.0
C029,Customer 029,Mid,Indexed,P1,S5,3336.0,0.0231,13.2,21.1,1.0
