week_start,month,plant_id,production_t,energy_mwh
2024-01-01,2024-01,P1,2391.45,1116.93
2024-01-08,2024-01,P1,2406.88,1099.97
2024-01-15,2024-01,P1,2434.51,1167.15
2024-01-22,2024-01,P1,2501.14,1179.65
2024-01-29,2024-01,P1,2480.85,1168.26
2024-02-05,2024-02,P1,3345.36,1562.62
2024-02-12,2024-02,P1,3017.18,1433.04
2024-02-19,2024-02,P1,3061.21,1421.54
2024-02-26,2024-02,P1,3191.82,1484.02
2024-03-04,2024-03,P1,3674.53,1709.35
2024-03-11,2024-03,P1,3299.85,1511.11
2024-03-18,2024-03,P1,3315.29,1564.21
2024-03-25,2024-03,P1,3463.36,1578.62
2024-04-01,2024-04,P1,2485.55,1106.89
2024-04-08,2024-04,P1,2524.45,1097.56
2024-04-15,2024-04,P1,2569.44,1143.44
2024-04-22,2024-04,P1,2652.44,1150.74
2024-04-29,2024-04,P1,2513.82,1064.44
2024-05-06,2024-05,P1,3439.21,1474.07
2024-05-13,2024-05,P1,3519.59,1530.42
2024-05-20,2024-05,P1,3345.31,1425.37
2024-05-27,2024-05,P1,3247.98,1395.23
2024-06-03,2024-06,P1,3114.42,1324.83
2024-06-10,2024-06,P1,3213.25,1360.11
2024-06-17,2024-06,P1,2996.81,1250.91
2024-06-24,2024-06,P1,3028.05,1241.91
2024-07-01,2024-07,P1,2265.11,941.77
2024-07-08,2024-07,P1,2398.26,1034.01
2024-07-15,2024-07,P1,2317.59,957.24
2024-07-22,2024-07,P1,2331.75,966.46
2024-07-29,2024-07,P1,2337.97,972.47
2024-08-05,2024-08,P1,3253.49,1366.8
2024-08-12,2024-08,P1,3433.51,1460.55
2024-08-19,2024-08,P1,3033.96,1275.39
2024-08-26,2024-08,P1,3226.41,1342.74
2024-09-02,2024-09,P1,2755.69,1178.2
2024-09-09,2024-09,P1,2747.56,1175.89
2024-09-16,2024-09,P1,2714.05,1161.68
2024-09-23,2024-09,P1,2751.97,1162.69
2024-09-30,2024-09,P1,2935.12,1244.09
2024-10-07,2024-10,P1,3415.98,1495.8
2024-10-14,2024-10,P1,3295.47,1412.66
2024-10-21,2024-10,P1,3396.18,1526.98
2024-10-28,2024-10,P1,3635.68,1611.39
2024-11-04,2024-11,P1,3345.43,1511.94
2024-11-11,2024-11,P1,3442.58,1535.53
2024-11-18,2024-11,P1,3450.12,1592.09
2024-11-25,2024-11,P1,3538.44,1672.39
2024-12-02,2024-12,P1,2669.33,1234.73
2024-12-09,2024-12,P1,2814.36,1291.83
2024-12-16,2024-12,P1,2681.22,1227.31
2024-12-23,2024-12,P1,2599.52,1190.46
2024-12-30,2024-12,P1,2715.33,1294.8
2025-01-06,2025-01,P1,3152.71,1479.83
2025-01-13,2025-01,P1,3027.48,1420.16
2025-01-20,2025-01,P1,2933.78,1395.38
2025-01-27,2025-01,P1,3333.39,1542.24
2025-02-03,2025-02,P1,3425.24,1562.27
2025-02-10,2025-02,P1,3323.17,1504.68
2025-02-17,2025-02,P1,3310.06,1517.62
2025-02-24,2025-02,P1,3426.63,1560.57
2025-03-03,2025-03,P1,2587.32,1201.1
2025-03-10,2025-03,P1,2744.92,1220.61
2025-03-17,2025-03,P1,2776.8,1233.85
2025-03-24,2025-03,P1,2916.02,1327.47
2025-03-31,2025-03,P1,3005.26,1336.89
2025-04-07,2025-04,P1,3560.72,1592.89
2025-04-14,2025-04,P1,3632.63,1610.48
2025-04-21,2025-04,P1,3589.91,1547.36
2025-04-28,2025-04,P1,3443.7,1502.25
2025-05-05,2025-05,P1,3580.27,1561.99
2025-05-12,2025-05,P1,3302.79,1400.95
2025-05-19,2025-05,P1,3480.99,1489.89
2025-05-26,2025-05,P1,3344.5,1414.79
2025-06-02,2025-06,P1,2677.42,1126.85
2025-06-09,2025-06,P1,2744.22,1171.29
2025-06-16,2025-06,P1,2669.27,1085.87
2025-06-23,2025-06,P1,2709.52,1114.62
2025-06-30,2025-06,P1,2744.08,1111.49
2025-07-07,2025-07,P1,2876.81,1238.32
2025-07-14,2025-07,P1,2889.79,1189.8
2025-07-21,2025-07,P1,2980.53,1251.34
2025-07-28,2025-07,P1,3099.74,1279.62
2025-08-04,2025-08,P1,3315.82,1304.67
2025-08-11,2025-08,P1,3272.62,1364.02
2025-08-18,2025-08,P1,3257.9,1347.45
2025-08-25,2025-08,P1,3131.68,1316.85
2025-09-01,2025-09,P1,3036.4,1261.31
2025-09-08,2025-09,P1,2930.38,1211.56
2025-09-15,2025-09,P1,2948.21,1277.32
2025-09-22,2025-09,P1,2993.29,1258.5
2025-09-29,2025-09,P1,2923.05,1248.06
2025-10-06,2025-10,P1,3481.27,1593.05
2025-10-13,2025-10,P1,3328.37,1449.52
2025-10-20,2025-10,P1,3679.24,1629.94
2025-10-27,2025-10,P1,3712.74,1640.73
2025-11-03,2025-11,P1,3672.99,1630.32
2025-11-10,2025-11,P1,3702.25,1665.2
2025-11-17,2025-11,P1,3745.41,1718.29
2025-11-24,2025-11,P1,3773.3,1727.9
2025-12-01,2025-12,P1,2947.39,1388.02
2025-12-08,2025-12,P1,2879.2,1325.83
2025-12-15,2025-12,P1,2855.68,1344.53
2025-12-22,2025-12,P1,2824.56,1285.22
2025-12-29,2025-12,P1,2911.98,1362.83
2024-01-01,2024-01,P2,2218.75,1075.58
2024-01-08,2024-01,P2,2242.54,1109.98
2024-01-15,2024-01,P2,2129.74,1021.53
2024-01-22,2024-01,P2,2209.92,1046.18
2024-01-29,2024-01,P2,2262.27,1095.87
2024-02-05,2024-02,P2,3038.47,1464.66
2024-02-12,2024-02,P2,2803.2,1354.42
2024-02-19,2024-02,P2,2940.29,1387.59
2024-02-26,2024-02,P2,2807.04,1327.86
2024-03-04,2024-03,P2,3053.51,1460.96
2024-03-11,2024-03,P2,2848.17,1356.05
2024-03-18,2024-03,P2,2930.55,1362.19
2024-03-25,2024-03,P2,3021.88,1435.53
2024-04-01,2024-04,P2,2315.91,1084.62
2024-04-08,2024-04,P2,2402.09,1115.53
2024-04-15,2024-04,P2,2383.74,1091.81
2024-04-22,2024-04,P2,2445.88,1108.41
2024-04-29,2024-04,P2,2408.21,1086.93
2024-05-06,2024-05,P2,3005.16,1388.6
2024-05-13,2024-05,P2,3029.33,1348.8
2024-05-20,2024-05,P2,2699.55,1159.82
2024-05-27,2024-05,P2,2760.98,1191.65
2024-06-03,2024-06,P2,2792.52,1222.11
2024-06-10,2024-06,P2,2771.82,1179.56
2024-06-17,2024-06,P2,2864.53,1245.64
2024-06-24,2024-06,P2,2831.74,1198.68
2024-07-01,2024-07,P2,2117.48,912.13
2024-07-08,2024-07,P2,2063.8,905.42
2024-07-15,2024-07,P2,2130.57,930.66
2024-07-22,2024-07,P2,2076.18,909.16
2024-07-29,2024-07,P2,2013.73,876.91
2024-08-05,2024-08,P2,2830.08,1206.3
2024-08-12,2024-08,P2,2847.56,1262.54
2024-08-19,2024-08,P2,2728.78,1155.2
2024-08-26,2024-08,P2,2740.93,1215.41
2024-09-02,2024-09,P2,2506.01,1099.99
2024-09-09,2024-09,P2,2268.28,1013.9
2024-09-16,2024-09,P2,2390.49,1088.84
2024-09-23,2024-09,P2,2332.98,1060.37
2024-09-30,2024-09,P2,2398.13,1055.31
2024-10-07,2024-10,P2,2942.15,1330.09
2024-10-14,2024-10,P2,2996.09,1383.91
2024-10-21,2024-10,P2,3134.78,1464.15
2024-10-28,2024-10,P2,3018.27,1406.66
2024-11-04,2024-11,P2,3026.92,1417.42
2024-11-11,2024-11,P2,3068.84,1472.89
2024-11-18,2024-11,P2,3213.1,1552.77
2024-11-25,2024-11,P2,3282.48,1563.78
2024-12-02,2024-12,P2,2546.68,1267.03
2024-12-09,2024-12,P2,2527.4,1204.76
2024-12-16,2024-12,P2,2466.4,1205.8
2024-12-23,2024-12,P2,2363.54,1118.2
2024-12-30,2024-12,P2,2437.72,1200.12
