month,plant_id,currency,board_consumed_t,fibre_cost_eur,energy_mwh,energy_cost_local,energy_cost_eur,other_variable_eur,fixed_cost_local,fixed_cost_eur
2024-01,P1,EUR,13982.53,7382534.28,5942.77,390072.72,390072.72,623789.06,1733987.51,1733987.51
2024-02,P1,EUR,13992.61,7349055.41,5925.3,403142.26,403142.26,623375.48,1750811.17,1750811.17
2024-03,P1,EUR,14966.21,7742378.55,6285.96,418621.67,418621.67,666719.04,1777151.21,1777151.21
2024-04,P1,EUR,13830.16,7152139.57,5490.39,365358.91,365358.91,621757.68,1793120.27,1793120.27
2024-05,P1,EUR,14537.86,7723818.19,5686.11,396483.68,396483.68,648722.08,1824225.24,1824225.24
2024-06,P1,EUR,13829.35,7353796.01,5258.45,333368.42,333368.42,616119.92,1817871.86,1817871.86
2024-07,P1,EUR,12632.99,6519720.35,4808.34,316617.54,316617.54,567005.04,1774515.53,1774515.53
2024-08,P1,EUR,14022.71,7225358.8,5362.98,360597.0,360597.0,627541.76,1780399.66,1780399.66
2024-09,P1,EUR,15414.65,7877849.85,5993.16,411724.33,411724.33,690966.2,1761631.73,1761631.73
2024-10,P1,EUR,15368.26,8008603.56,6137.23,397208.0,397208.0,685628.02,1755678.73,1755678.73
2024-11,P1,EUR,15396.49,7922720.93,6412.43,421043.49,421043.49,690334.98,1736881.78,1736881.78
2024-12,P1,EUR,14906.06,7724438.82,6250.81,436739.21,436739.21,664898.64,1749430.57,1749430.57
2025-01,P1,EUR,13775.94,7365124.95,5849.9,432413.57,432413.57,625337.52,1866260.94,1866260.94
2025-02,P1,EUR,14680.03,7904552.27,6083.94,456679.47,456679.47,668418.26,1823294.51,1823294.51
2025-03,P1,EUR,15370.16,8140152.82,6288.62,489161.5,489161.5,698971.44,1776586.97,1776586.97
2025-04,P1,EUR,15567.79,8187085.33,6232.01,502089.28,502089.28,711114.36,1813632.39,1813632.39
2025-05,P1,EUR,14902.53,7962661.31,5808.45,454614.73,454614.73,681162.43,1795403.24,1795403.24
2025-06,P1,EUR,15049.02,7955986.78,5687.19,436756.62,436756.62,688065.64,1827331.29,1827331.29
2025-07,P1,EUR,12958.35,6820622.26,4936.26,381247.64,381247.64,591010.64,1818387.78,1818387.78
2025-08,P1,EUR,14302.55,7675581.0,5359.68,384702.77,384702.77,652906.73,1783332.1,1783332.1
2025-09,P1,EUR,16165.87,8658500.33,6177.8,474909.19,474909.19,731954.22,1805999.61,1805999.61
2025-10,P1,EUR,15601.26,8332197.46,6286.99,498199.89,498199.89,710024.1,1777239.06,1777239.06
2025-11,P1,EUR,16231.02,8520716.99,6697.9,500929.39,500929.39,742721.28,1792444.67,1792444.67
2025-12,P1,EUR,15553.04,8300456.01,6598.34,491356.86,491356.86,709726.75,1747736.06,1747736.06
2024-01,P2,EUR,12291.66,6396088.86,5389.26,381131.72,381131.72,680521.82,1764058.67,1764058.67
2024-02,P2,EUR,12634.41,6598576.87,5473.42,368862.91,368862.91,708485.0,1799696.42,1799696.42
2024-03,P2,EUR,13239.76,6996113.31,5666.45,392876.04,392876.04,735990.72,1744292.03,1744292.03
2024-04,P2,EUR,12916.1,6664697.22,5393.03,355370.44,355370.44,721562.36,1697737.09,1697737.09
2024-05,P2,EUR,12747.46,6482638.0,5114.53,329158.32,329158.32,710662.84,1752435.13,1752435.13
2024-06,P2,EUR,12469.34,6501039.55,4867.92,312152.64,312152.64,688312.64,1766884.47,1766884.47
2024-07,P2,EUR,11272.81,5846139.13,4443.18,287250.25,287250.25,626078.18,1784925.19,1784925.19
2024-08,P2,EUR,12356.09,6356623.81,4843.48,328165.36,328165.36,683696.52,1738262.6,1738262.6
2024-09,P2,EUR,13119.34,6850755.75,5341.75,361224.11,361224.11,734215.04,1805670.39,1805670.39
2024-10,P2,EUR,13440.23,6957655.29,5620.77,395458.55,395458.55,746827.54,1714275.5,1714275.5
2024-11,P2,EUR,13863.63,7230647.28,6011.52,432473.31,432473.31,776573.42,1777298.58,1777298.58
2024-12,P2,EUR,13510.71,6986116.68,5926.15,407646.41,407646.41,752058.76,1737613.76,1737613.76
2025-01,P2,EUR,13002.45,6892305.25,5671.31,415920.03,415920.03,741371.94,1781293.98,1781293.98
2025-02,P2,EUR,12329.53,6580289.2,5401.73,408351.56,408351.56,701009.2,1779778.92,1779778.92
