month,customer_id,segment_id,plant_id,currency,volume_t,net_sales_local,net_sales_eur,orders,deliveries,freight_local,freight_eur,order_handling_local,order_handling_eur
2024-01,C001,S2,P1,EUR,1546.18,1448948.02,1448948.02,35,91,35035.0,35035.0,30800.0,30800.0
2024-02,C001,S2,P1,EUR,1412.2,1330492.36,1330492.36,32,83,31955.0,31955.0,28160.0,28160.0
2024-03,C001,S2,P1,EUR,1404.66,1322505.34,1322505.34,32,83,31955.0,31955.0,28160.0,28160.0
2024-04,C001,S2,P1,EUR,1440.26,1355676.74,1355676.74,32,85,32725.0,32725.0,28160.0,28160.0
2024-05,C001,S2,P1,EUR,1514.23,1422333.63,1422333.63,34,89,34265.0,34265.0,29920.0,29920.0
2024-06,C001,S2,P1,EUR,1379.39,1287736.78,1287736.78,31,81,31185.0,31185.0,27280.0,27280.0
2024-07,C001,S2,P1,EUR,1173.14,1101022.61,1101022.61,26,69,26565.0,26565.0,22880.0,22880.0
2024-08,C001,S2,P1,EUR,1554.04,1452947.65,1452947.65,35,91,35035.0,35035.0,30800.0,30800.0
2024-09,C001,S2,P1,EUR,1584.33,1475478.13,1475478.13,36,93,35805.0,35805.0,31680.0,31680.0
2024-10,C001,S2,P1,EUR,1506.51,1418984.29,1418984.29,34,89,34265.0,34265.0,29920.0,29920.0
2024-11,C001,S2,P1,EUR,1651.09,1555907.74,1555907.74,37,97,37345.0,37345.0,32560.0,32560.0
2024-12,C001,S2,P1,EUR,1400.12,1310273.25,1310273.25,31,82,31570.0,31570.0,27280.0,27280.0
2025-01,C001,S2,P1,EUR,1278.48,1159200.43,1159200.43,29,75,30300.0,30300.0,26245.0,26245.0
2025-02,C001,S2,P1,EUR,1427.26,1287357.78,1287357.78,32,84,33936.0,33936.0,28960.0,28960.0
2025-03,C001,S2,P1,EUR,1552.7,1410733.76,1410733.76,35,91,36764.0,36764.0,31675.0,31675.0
2025-04,C001,S2,P1,EUR,1526.81,1376969.12,1376969.12,34,90,36360.0,36360.0,30770.0,30770.0
2025-05,C001,S2,P1,EUR,1352.63,1224788.75,1224788.75,30,79,31916.0,31916.0,27150.0,27150.0
2025-06,C001,S2,P1,EUR,1408.53,1277456.25,1277456.25,32,83,33532.0,33532.0,28960.0,28960.0
2025-07,C001,S2,P1,EUR,1227.04,1109811.31,1109811.31,28,72,29088.0,29088.0,25340.0,25340.0
2025-08,C001,S2,P1,EUR,1311.83,1182590.13,1182590.13,29,77,31108.0,31108.0,26245.0,26245.0
2025-09,C001,S2,P1,EUR,1585.01,1436775.07,1436775.07,36,93,37572.0,37572.0,32580.0,32580.0
2025-10,C001,S2,P1,EUR,1566.59,1420983.0,1420983.0,35,92,37168.0,37168.0,31675.0,31675.0
2025-11,C001,S2,P1,EUR,1563.86,1412954.01,1412954.01,35,92,37168.0,37168.0,31675.0,31675.0
2025-12,C001,S2,P1,EUR,1494.11,1348995.02,1348995.02,34,88,35552.0,35552.0,30770.0,30770.0
2024-01,C002,S4,P2,EUR,1570.13,1901497.91,1901497.91,43,106,40810.0,40810.0,37840.0,37840.0
2024-02,C002,S4,P2,EUR,1892.25,2289159.28,2289159.28,52,128,49280.0,49280.0,45760.0,45760.0
2024-03,C002,S4,P2,EUR,1707.35,2071250.64,2071250.64,47,115,44275.0,44275.0,41360.0,41360.0
2024-04,C002,S4,P2,EUR,1806.58,2200508.66,2200508.66,50,122,46970.0,46970.0,44000.0,44000.0
2024-05,C002,S4,P2,EUR,1808.8,2203164.9,2203164.9,50,122,46970.0,46970.0,44000.0,44000.0
2024-06,C002,S4,P2,EUR,1495.26,1821346.78,1821346.78,41,101,38885.0,38885.0,36080.0,36080.0
2024-07,C002,S4,P2,EUR,1517.4,1836608.69,1836608.69,42,103,39655.0,39655.0,36960.0,36960.0
2024-08,C002,S4,P2,EUR,1827.93,2210081.51,2210081.51,50,124,47740.0,47740.0,44000.0,44000.0
2024-09,C002,S4,P2,EUR,1719.63,2104993.24,2104993.24,47,116,44660.0,44660.0,41360.0,41360.0
2024-10,C002,S4,P2,EUR,1799.24,2189934.07,2189934.07,49,122,46970.0,46970.0,43120.0,43120.0
2024-11,C002,S4,P2,EUR,1866.22,2261769.77,2261769.77,51,126,48510.0,48510.0,44880.0,44880.0
