customer_id,tier,contract_type,plant_id,segment_id,vol,sales,contribution_before_cts,cost_to_serve,contribution_after_cts,fixed_alloc,ebitda,margin,cts_per_t,avg_order_t
C001,Key,Fixed annual,P1,S2,17294.85,15648614.63,4143179.4701,762509.0,3380670.4701,2379471.927,1001198.5431,0.064,44.0888,44.4598
C002,Key,Fixed annual,P2,S4,21702.78,25493294.05,10181893.2301,1132452.0,9049441.2301,2985926.7786,6063514.4515,0.2378,52.18,36.4141
C003,Key,Indexed,P2,S4,27512.02,33371830.94,13961987.3354,1080542.0,12881445.3354,3785177.6248,9096267.7106,0.2726,39.2753,55.6923
C004,Key,Fixed annual,P1,S1,22062.49,20856200.11,6134074.9821,998908.0,5135166.9821,3035416.6468,2099750.3353,0.1007,45.2763,33.8382
C005,Key,Fixed annual,P3,S1,29854.03,26687953.92,6722260.3325,1076561.78,5645698.5525,4107397.6526,1538300.8999,0.0576,36.0609,50.5144
C006,Key,Indexed,P1,S2,23743.3,23565845.19,7770565.1712,1405891.0,6364674.1712,3266667.0022,3098007.169,0.1315,59.2121,26.6479
C007,Key,Fixed annual,P1,S2,19602.28,17951935.82,4911478.0232,1076044.0,3835434.0232,2696934.3455,1138499.6778,0.0634,54.8938,25.7925
C008,Key,Indexed,P4,S3,17270.21,14517254.65,3044074.3501,763277.64,2280796.7101,2376081.8896,-95285.1794,-0.0066,44.1962,34.819
C009,Key,Indexed,P3,S3,37563.17,31674741.51,6859866.5862,1572305.08,5287561.5062,5168041.845,119519.6612,0.0038,41.8576,46.2032
C010,Key,Fixed annual,P1,S1,27741.84,25534679.46,7022768.984,1402051.0,5620717.984,3816796.8778,1803921.1061,0.0706,50.5392,26.5981
C011,Key,Fixed annual,P3,S1,13323.43,11792136.42,2881730.6586,732752.83,2148977.8286,1833073.2938,315904.5347,0.0268,54.9973,25.4264
C012,Key,Fixed annual,P2,S4,19708.88,22658538.54,8753842.3955,733601.0,8020241.3955,2711600.6598,5308640.7356,0.2343,37.2219,44.2896
C013,Key,Fixed annual,P2,S2,8545.11,7933373.35,2183675.3841,381401.0,1802274.3841,1175659.1909,626615.1932,0.079,44.6338,38.6657
C014,Key,Fixed annual,P1,S2,14712.22,13558631.76,3771296.6129,725441.0,3045855.6129,2024146.7531,1021708.8598,0.0754,49.3087,31.6392
C015,Key,Fixed annual,P2,S2,12676.09,11549572.8,3020286.5897,593633.0,2426653.5897,1744010.5175,682643.0722,0.0591,46.8309,43.8619
C016,Mid,Indexed,P3,S3,8626.73,7812720.25,2113754.3227,662075.83,1451678.4927,1186888.6898,264789.8029,0.0339,76.747,16.9484
C017,Mid,Indexed,P3,S1,4964.1,4926341.13,1606464.3985,402171.63,1204292.7685,682974.2144,521318.5541,0.1058,81.016,16.7141
C018,Mid,Fixed annual,P2,S4,3061.19,3656321.09,1496638.9168,384329.0,1112309.9168,421166.7443,691143.1724,0.189,125.5489,10.307
C019,Mid,Indexed,P2,S2,6312.15,6226312.49,1979093.2014,598342.0,1380751.2014,868442.5551,512308.6463,0.0823,94.7921,14.027
C020,Mid,Indexed,P3,S5,4007.24,4632858.98,1936558.8287,447152.42,1489406.4087,551326.845,938079.5637,0.2025,111.5861,10.8304
C021,Mid,Fixed annual,P2,S3,2455.1,2204106.45,567182.9479,265485.0,301697.9479,337779.2538,-36081.3059,-0.0164,108.1361,11.5263
C022,Mid,Fixed annual,P1,S2,4419.08,4126449.07,1186646.851,357162.0,829484.851,607988.8986,221495.9524,0.0537,80.8227,17.9637
C023,Mid,Indexed,P4,S4,3681.46,4488671.08,1900260.2184,389458.19,1510802.0284,506505.1573,1004296.8711,0.2237,105.7891,10.9567
C024,Mid,Indexed,P3,S3,2514.57,2299100.21,637932.1021,288274.38,349657.7221,345961.2962,3696.4259,0.0016,114.6416,9.6344
C025,Mid,Fixed annual,P2,S5,5176.11,5669219.61,2154723.0891,568868.0,1585855.0891,712143.1198,873711.9693,0.1541,109.9026,10.4357
C026,Mid,Fixed annual,P2,S3,4911.58,4479331.28,1204564.1689,401232.0,803332.1689,675748.3717,127583.7972,0.0285,81.691,17.0541
C027,Mid,Fixed annual,P4,S3,16694.19,14211170.23,3120659.3543,1935873.03,1184786.3243,2296831.5104,-1112045.1861,-0.0783,115.9609,9.622
C028,Mid,Indexed,P3,S3,8023.23,7079194.6,1778911.1326,730549.26,1048361.8726,1103857.5384,-55495.6659,-0.0078,91.0543,13.0885
C029,Mid,Indexed,P1,S5,3341.73,3995845.02,1752300.7558,246915.0,1505385.7558,459764.1912,1045621.5646,0.2617,73.8884,21.0172
C030,Mid,Indexed,P3,S2,5057.75,4982972.55,1610782.6469,429492.37,1181290.2769,695858.833,485431.4439,0.0974,84.9177,14.5338
C031,Mid,Indexed,P1,S4,4247.88,5506715.33,2542153.4664,480711.0,2061442.4664,584434.7427,1477007.7238,0.2682,113.1649,10.8641
C032,Mid,Indexed,P2,S5,4649.09,5297596.45,2140938.1429,385540.0,1755398.1429,639634.2923,1115763.8505,0.2106,82.9281,17.0922
C033,Mid,Indexed,P1,S4,5028.15,6328527.85,2819421.7231,458037.0,2361384.7231,691786.3855,1669598.3376,0.2638,91.0945,14.2441
C034,Mid,Indexed,P3,S4,4296.84,5233763.94,2228652.1563,424410.23,1804241.9263,591170.791,1213071.1353,0.2318,98.7726,12.0698
C035,Mid,Indexed,P5,S4,3995.91,5179556.65,2281357.5691,399019.0,1882338.5691,549768.0331,1332570.536,0.2573,99.8569,12.8486
C036,Mid,Fixed annual,P5,S2,4600.06,4416922.26,1230684.3509,394057.0,836627.3509,632888.6132,203738.7377,0.0461,85.6634,15.9172
C037,Mid,Fixed annual,P4,S5,3190.29,3369159.92,1210694.0188,245412.86,965281.1588,438928.6692,526352.4896,0.1562,76.9249,16.4448
C038,Mid,Indexed,P5,S1,4588.97,4765473.29,1577555.3859,423129.0,1154426.3859,631362.8212,523063.5646,0.1098,92.2057,15.662
C039,Mid,Indexed,P5,S3,6695.99,6146329.37,1549322.1122,771502.0,777820.1122,921252.2935,-143432.1813,-0.0233,115.2185,11.3491
C040,Mid,Indexed,P1,S5,5550.39,6535617.23,2809240.279,602900.0,2206340.279,763637.5678,1442702.7113,0.2207,108.623,11.7593
C041,Mid,Indexed,P5,S1,4507.42,4698084.47,1566818.6479,437498.0,1129320.6479,620142.9531,509177.6948,0.1084,97.0617,12.4514
C042,Mid,Fixed annual,P2,S1,5371.07,5178372.39,1553415.0896,482390.0,1071025.0896,738966.2404,332058.8492,0.0641,89.8126,15.3459
C043,Mid,Indexed,P1,S2,5013.59,5106356.01,1771054.7693,493510.0,1277544.7693,689783.1816,587761.5877,0.1151,98.4345,12.597
C044,Mid,Indexed,P2,S3,7293.47,6714001.42,1851123.1442,642202.0,1208921.1442,1003455.1971,205465.9472,0.0306,88.0516,14.7641
C045,Mid,Fixed annual,P4,S1,6872.73,6444167.0,1822300.2525,796399.74,1025900.5125,945568.6575,80331.8549,0.0125,115.8782,9.8746
C046,Small,List price,P4,S1,1797.11,1879345.53,670800.6067,599925.62,70874.9867,247251.2219,-176376.2352,-0.0938,333.828,3.8074
C047,Small,List price,P2,S3,2290.85,2293408.68,765997.9005,723781.0,42216.9005,315181.2975,-272964.3971,-0.119,315.9443,3.9703
C048,Small,List price,P3,S1,929.7,984831.9,363069.7684,341595.62,21474.1484,127910.6237,-106436.4753,-0.1081,367.4256,3.6175
C049,Small,List price,P4,S1,2121.6,2138893.04,712130.6775,844204.38,-132073.7025,291895.4278,-423969.1303,-0.1982,397.9093,2.9063
C050,Small,List price,P1,S1,1564.42,1793972.42,750047.3239,366212.0,383835.3239,215237.1065,168598.2174,0.094,234.088,6.111
C051,Small,List price,P3,S2,1092.02,1142180.8,414090.4796,278020.2,136070.2796,150243.0454,-14172.7658,-0.0124,254.5926,5.6581
C052,Small,List price,P1,S1,1142.63,1267656.25,505188.2858,304107.0,201081.2858,157206.1052,43875.1807,0.0346,266.1465,5.6287
C053,Small,List price,P3,S2,1341.13,1413023.29,518842.0741,546747.97,-27905.8959,184516.2685,-212422.1643,-0.1503,407.6771,2.8718
C054,Small,List price,P2,S1,969.6,1077203.56,422816.5201,450217.0,-27400.4799,133400.1729,-160800.6528,-0.1493,464.3327,2.4925
C055,Small,List price,P4,S4,1079.75,1410819.14,651653.8556,379524.08,272129.7756,148554.9058,123574.8698,0.0876,351.4925,3.2328
C056,Small,List price,P2,S3,865.6,860590.64,283456.9251,279076.0,4380.9251,119091.5735,-114710.6484,-0.1333,322.4076,3.8643
C057,Small,List price,P2,S3,1305.92,1287815.81,417101.3219,418476.0,-1374.6781,179671.9821,-181046.6602,-0.1406,320.4454,4.081
C058,Small,List price,P5,S1,913.5,988010.0,353409.424,220138.0,133271.424,125681.7842,7589.6398,0.0077,240.983,5.6389
C059,Small,List price,P1,S5,2276.85,2848751.0,1320137.4502,711012.0,609125.4502,313255.1399,295870.3102,0.1039,312.2788,4.447
C060,Small,List price,P2,S2,1561.24,1660912.63,610410.243,423420.0,186990.243,214799.5936,-27809.3506,-0.0167,271.2075,5.2745
C061,Small,List price,P4,S5,603.3,754913.74,346736.904,205053.76,141683.144,83003.6348,58679.5092,0.0777,339.8869,3.2967
C062,Small,List price,P2,S2,1152.85,1256277.13,480565.7231,327880.0,152685.7231,158612.2002,-5926.4771,-0.0047,284.4082,4.7248
C063,Small,List price,P2,S3,1265.74,1274826.11,430901.4008,348048.0,82853.4008,174143.9097,-91290.5089,-0.0716,274.9759,5.0228
C064,Small,List price,P2,S3,572.6,556208.42,174430.7338,155819.0,18611.7338,78779.8463,-60168.1125,-0.1082,272.1254,5.3514
C065,Small,List price,P3,S3,855.74,790758.74,225442.2061,232658.22,-7216.0139,117735.0082,-124951.0221,-0.158,271.8796,4.918
C066,Small,List price,P2,S3,747.59,759892.23,261440.9893,189546.0,71894.9893,102855.4407,-30960.4513,-0.0407,253.5427,5.579
C067,Small,List price,P4,S5,1524.92,1810047.79,778327.2185,591109.86,187217.3585,209802.5904,-22585.2319,-0.0125,387.6334,3.1572
C068,Small,List price,P3,S1,1630.36,1737095.15,646747.6091,375061.99,271685.6191,224309.3089,47376.3102,0.0273,230.0486,5.9502
