week_start,plant_id,production_t,energy_mwh,intensity,baseline,dev,dev_4w,breach
2024-01-01,P1,2391.45,1116.93,0.46705,0.46783,-0.00166,,False
2024-01-08,P1,2406.88,1099.97,0.45701,0.46878,-0.02511,,False
2024-01-15,P1,2434.51,1167.15,0.47942,0.46921,0.02176,,False
2024-01-22,P1,2501.14,1179.65,0.47164,0.46922,0.00517,4e-05,False
2024-01-29,P1,2480.85,1168.26,0.47091,0.47281,-0.00401,-0.00055,False
2024-02-05,P1,3345.36,1562.62,0.4671,0.4698,-0.00574,0.0043,False
2024-02-12,P1,3017.18,1433.04,0.47496,0.46846,0.01388,0.00233,False
2024-02-19,P1,3061.21,1421.54,0.46437,0.46731,-0.00629,-0.00054,False
2024-02-26,P1,3191.82,1484.02,0.46494,0.46548,-0.00115,0.00017,False
2024-03-04,P1,3674.53,1709.35,0.46519,0.46485,0.00073,0.00179,False
2024-03-11,P1,3299.85,1511.11,0.45793,0.46314,-0.01124,-0.00449,False
2024-03-18,P1,3315.29,1564.21,0.47182,0.45921,0.02744,0.00395,False
2024-03-25,P1,3463.36,1578.62,0.45581,0.45313,0.0059,0.00571,False
2024-04-01,P1,2485.55,1106.89,0.44533,0.45055,-0.01158,0.00263,False
2024-04-08,P1,2524.45,1097.56,0.43477,0.44295,-0.01847,0.00082,False
2024-04-15,P1,2569.44,1143.44,0.44502,0.43648,0.01956,-0.00115,False
2024-04-22,P1,2652.44,1150.74,0.43384,0.43313,0.00163,-0.00221,False
2024-04-29,P1,2513.82,1064.44,0.42344,0.43315,-0.02242,-0.00492,False
2024-05-06,P1,3439.21,1474.07,0.42861,0.42936,-0.00175,-0.00074,False
2024-05-13,P1,3519.59,1530.42,0.43483,0.4285,0.01476,-0.00194,False
2024-05-20,P1,3345.31,1425.37,0.42608,0.42889,-0.00656,-0.00399,False
2024-05-27,P1,3247.98,1395.23,0.42957,0.42783,0.00407,0.00263,False
2024-06-03,P1,3114.42,1324.83,0.42539,0.42435,0.00245,0.00368,False
2024-06-10,P1,3213.25,1360.11,0.42328,0.42116,0.00504,0.00125,False
2024-06-17,P1,2996.81,1250.91,0.41741,0.4184,-0.00235,0.0023,False
2024-06-24,P1,3028.05,1241.91,0.41014,0.41955,-0.02244,-0.00432,False
2024-07-01,P1,2265.11,941.77,0.41577,0.4175,-0.00414,-0.00597,False
2024-07-08,P1,2398.26,1034.01,0.43115,0.41691,0.03415,0.0013,False
2024-07-15,P1,2317.59,957.24,0.41303,0.41808,-0.01206,-0.00112,False
2024-07-22,P1,2331.75,966.46,0.41448,0.41894,-0.01065,0.00182,False
2024-07-29,P1,2337.97,972.47,0.41595,0.41779,-0.00441,0.00176,False
2024-08-05,P1,3253.49,1366.8,0.4201,0.41926,0.00202,-0.00628,False
2024-08-12,P1,3433.51,1460.55,0.42538,0.41959,0.01379,0.00019,False
2024-08-19,P1,3033.96,1275.39,0.42037,0.42192,-0.00366,0.00194,False
2024-08-26,P1,3226.41,1342.74,0.41617,0.42349,-0.01728,-0.00128,False
2024-09-02,P1,2755.69,1178.2,0.42755,0.42402,0.00833,0.00029,False
2024-09-09,P1,2747.56,1175.89,0.42798,0.42444,0.00832,-0.00107,False
2024-09-16,P1,2714.05,1161.68,0.42802,0.42598,0.0048,0.00104,False
2024-09-23,P1,2751.97,1162.69,0.42249,0.42805,-0.01298,0.00212,False
2024-09-30,P1,2935.12,1244.09,0.42386,0.42819,-0.0101,-0.00249,False
2024-10-07,P1,3415.98,1495.8,0.43788,0.4325,0.01244,-0.00146,False
2024-10-14,P1,3295.47,1412.66,0.42867,0.43665,-0.01828,-0.00723,False
2024-10-21,P1,3396.18,1526.98,0.44962,0.44226,0.01662,0.00017,False
2024-10-28,P1,3635.68,1611.39,0.44322,0.4439,-0.00153,0.00231,False
2024-11-04,P1,3345.43,1511.94,0.45194,0.45045,0.0033,3e-05,False
2024-11-11,P1,3442.58,1535.53,0.44604,0.45506,-0.01982,-0.00036,False
2024-11-18,P1,3450.12,1592.09,0.46146,0.45893,0.00552,-0.00313,False
2024-11-25,P1,3538.44,1672.39,0.47263,0.46034,0.0267,0.00393,False
2024-12-02,P1,2669.33,1234.73,0.46256,0.46268,-0.00026,0.00304,False
2024-12-09,P1,2814.36,1291.83,0.45901,0.46198,-0.00642,0.00638,False
2024-12-16,P1,2681.22,1227.31,0.45774,0.46282,-0.01098,0.00226,False
2024-12-23,P1,2599.52,1190.46,0.45795,0.46289,-0.01066,-0.00708,False
2024-12-30,P1,2715.33,1294.8,0.47685,0.46418,0.02729,-0.00019,False
2025-01-06,P1,3152.71,1479.83,0.46938,0.46783,0.00333,0.00224,False
2025-01-13,P1,3027.48,1420.16,0.46909,0.46878,0.00066,0.00515,False
2025-01-20,P1,2933.78,1395.38,0.47563,0.46921,0.01368,0.01124,False
2025-01-27,P1,3333.39,1542.24,0.46266,0.46922,-0.01397,0.00092,False
2025-02-03,P1,3425.24,1562.27,0.45611,0.47281,-0.03532,-0.00874,False
2025-02-10,P1,3323.17,1504.68,0.45278,0.4698,-0.03621,-0.01796,False
2025-02-17,P1,3310.06,1517.62,0.45849,0.46846,-0.02128,-0.0267,False
2025-02-24,P1,3426.63,1560.57,0.45542,0.46731,-0.02544,-0.02957,False
